STATION,NAME,STATION_LON,STATION_LAT,RCMGRID_LON,RCMGRID_LAT
TH000048569,"HAT YAI, TH",100.433,6.917,100.350403,6.949439
TH000048568,"SONGKHLA, TH",100.617,7.2,100.576683,7.173999
TH000048567,"TRANG, TH",99.617,7.517,99.671577,7.398449
TH000048567,"TRANG, TH",99.617,7.517,99.671577,7.622784
TH000048564,"PHUKET, TH",98.4,7.883,98.313911,7.847002
TH000048565,"PHUKET AIRPORT, TH",98.317,8.132,98.313911,8.071099
TH000048552,"NAKHON SI THAMMARAT, TH",99.95,8.533,99.89785,8.518917
TH000048551,"SURAT THANI, TH",99.15,9.117,99.219017,9.189654
TH000048550,"KO SAMUI, TH",100.05,9.467,100.12413,9.412956
TH000048517,"CHUMPHON, TH",99.183,10.483,99.219017,10.527236
TH000048500,"PRACHUAP KHIRI KHAN, TH",99.8,11.8,99.89785,11.859039
TH000048501,"KHLONG YAI, TH",102.883,11.767,102.839447,11.859039
TH000048475,"HUA HIN, TH",99.95,12.583,99.89785,12.522558
TH000048480,"CHANTHABURI, TH",102.117,12.6,102.160622,12.522558
TH000048477,"SATTAHIP, TH",100.983,12.683,101.029236,12.743357
THW00041028,"U TAPAO RTNAS, TH",101.017,12.683,101.029236,12.743357
TH000048459,"CHON BURI, TH",100.983,13.367,101.029236,13.404588
TH000048455,"BANGKOK METROPOLIS, TH",100.567,13.733,100.576683,13.624599
THM00048453,"BANG NA AGROMET, TH",100.617,13.667,100.576683,13.624599
TH000048462,"ARANYAPRATHET, TH",102.583,13.7,102.613174,13.624599
TH000048455,"BANGKOK METROPOLIS, TH",100.567,13.733,100.576683,13.844405
TH000048456,"DON MUANG, TH",100.6,13.917,100.576683,13.844405
THW00041001,"DON MUANG, TH",100.617,13.917,100.576683,13.844405
TH000048450,"KANCHANABURI, TH",99.533,14.017,99.445297,14.064005
TH000048430,"PRACHIN BURI, TH",101.367,14.05,101.255516,14.064005
TH000048430,"PRACHIN BURI, TH",101.367,14.05,101.481789,14.064005
TH000048425,"SUPHAN BURI, TH",100.133,14.467,100.12413,14.502567
TH000048426,"LOP BURI, TH",100.617,14.8,100.576683,14.721525
TH000048431,"NAKHON RATCHASIMA, TH",102.083,14.967,102.160622,14.940264
THW00041019,"NAKHON RATCHASIMA, TH",102.083,14.933,102.160622,14.940264
TH000048432,"SURIN, TH",103.5,14.883,103.51828,14.940264
THW00041012,"TA KHLI, TH",100.3,15.283,100.350403,15.15878
TH000048407,"UBON RATCHATHANI, TH",104.867,15.25,104.875938,15.15878
THW00041017,"UBON RATCHATHANI, TH",104.867,15.25,104.875938,15.15878
THW00041012,"TA KHLI, TH",100.3,15.283,100.350403,15.37707
TH000048400,"NAKHON SAWAN, TH",100.167,15.8,100.12413,15.812963
TH000048405,"ROI ET, TH",103.683,16.05,103.74456,16.030558
TH000048379,"PHETCHABUN, TH",101.15,16.433,101.029236,16.465036
TH000048379,"PHETCHABUN, TH",101.15,16.433,101.255516,16.465036
TH000048381,"KHON KAEN, TH",102.833,16.433,102.839447,16.465036
TH000048383,"MUKDAHAN, TH",104.717,16.533,104.649666,16.465036
TH000048375,"MAE SOT, TH",98.55,16.667,98.540192,16.681911
THW00041082,"NAM PHONG, TH",102.967,16.633,103.065727,16.681911
TH000048376,"TAK, TH",99.15,16.883,99.219017,16.898542
TH000048378,"PHITSANULOK SARIT, TH",100.267,16.817,100.350403,16.898542
TH000048356,"SAKON NAKHON, TH",104.133,17.15,104.197113,17.114923
TH000048353,"LOEI, TH",101.733,17.45,101.708069,17.331055
TH000048354,"UDORN AB USAF, TH",102.8,17.383,102.839447,17.331055
THW00041018,"UDON THANI, TH",102.8,17.383,102.839447,17.331055
THW00041020,"NAKHON PHANOM, TH",104.65,17.383,104.649666,17.331055
TH000048357,"NAKHON PHANOM, TH",104.783,17.417,104.875938,17.331055
TH000048351,"UTTARADIT, TH",100.1,17.617,100.12413,17.54693
TH000048353,"LOEI, TH",101.733,17.45,101.708069,17.54693
TH000048325,"MAE SARIANG, TH",97.933,18.167,97.861359,18.193007
TH000048328,"LAMPANG, TH",99.517,18.283,99.445297,18.193007
TH000048330,"PHRAE, TH",100.167,18.167,100.12413,18.193007
TH000048328,"LAMPANG, TH",99.517,18.283,99.445297,18.407839
TH000048327,"CHIANG MAI, TH",98.983,18.783,98.992744,18.836699
TH000048331,"NAN, TH",100.767,18.767,100.802956,18.836699
TH000048300,"MAE HONG SON, TH",97.833,19.3,97.861359,19.264465
TH000048303,"CHIANG RAI, TH",99.833,19.883,99.89785,19.90402
