station,station_name,grid_lon,grid_lat,train_mae,test_mae,bctrain_mae,bctest_mae
TH000048569,"HAT YAI, TH",100.350403,6.949439,2.2524133102369173,2.3629121180189565,1.5673837670872584,1.6465799399730126
TH000048568,"SONGKHLA, TH",100.576683,7.173999,4.948590631828092,5.2804611398963495,1.5027921501368353,1.5965633654140345
TH000048567,"TRANG, TH",99.671577,7.398449,4.026637004239265,4.324101018428689,1.703005123705322,1.7931463021796754
TH000048567,"TRANG, TH",99.671577,7.622783999999999,4.11218285445123,4.327679146459729,1.722112486051342,1.8020673342875753
TH000048564,"PHUKET, TH",98.313911,7.847002000000001,5.6618115559599405,5.756324179707195,1.293121473749668,1.2366098297623296
TH000048565,"PHUKET AIRPORT, TH",98.313911,8.071099,5.052601389044448,5.301577001455582,1.3086723358616783,1.4758138529117906
TH000048552,"NAKHON SI THAMMARAT, TH",99.89785,8.518917,2.9372949195596805,2.828721843003396,1.608589117908316,1.3895076095965364
TH000048551,"SURAT THANI, TH",99.21901700000001,9.189653999999999,2.342066423698714,2.3327934401602324,1.6410015458518443,1.62036529635037
TH000048550,"KO SAMUI, TH",100.12413000000001,9.412956,3.4457776166328533,4.5138541417165445,2.993606289075963,2.438447723534421
TH000048517,"CHUMPHON, TH",99.21901700000001,10.527236,2.525210367292977,2.6265276309466508,1.6501786905608897,1.6533618440891806
TH000048500,"PRACHUAP KHIRI KHAN, TH",99.89785,11.859039,5.605113651255893,6.7176549549549325,1.4982722885780848,2.198396545016594
TH000048501,"KHLONG YAI, TH",102.83944699999999,11.859039,5.708443517640842,5.9001356171832295,1.2529767600462136,1.2670900261790095
TH000048475,"HUA HIN, TH",99.89785,12.522558,2.2868068179669003,2.3569337725719834,1.5131846982306842,1.3922125665594436
TH000048480,"CHANTHABURI, TH",102.160622,12.522558,3.035633672042497,3.358723735224569,1.479926916708005,1.517365465761922
TH000048477,"SATTAHIP, TH",101.029236,12.743357000000001,2.330399581351083,2.9507421130220965,1.237627359936783,1.4932740884463687
THW00041028,"U TAPAO RTNAS, TH",101.029236,12.743357000000001,,,,
TH000048459,"CHON BURI, TH",101.029236,13.404588,2.5995086427898095,2.7488753316953196,1.462460390348492,1.377722082346782
TH000048455,"BANGKOK METROPOLIS, TH",100.576683,13.624599,299.211810765058,304.0402627460168,14.024256321527382,14.886577498661465
THM00048453,"BANG NA AGROMET, TH",100.576683,13.624599,,,,
TH000048462,"ARANYAPRATHET, TH",102.613174,13.624599,302.30741889505776,306.9861128794848,18.94252990386258,18.495400673055116
TH000048455,"BANGKOK METROPOLIS, TH",100.576683,13.844404999999998,297.8531737934905,302.6469896907216,14.07742102578479,14.835634212897551
TH000048456,"DON MUANG, TH",100.576683,13.844404999999998,2.5447024986241,2.806885849802362,1.7819160749005827,1.7496965304983332
THW00041001,"DON MUANG, TH",100.576683,13.844404999999998,,,,
TH000048450,"KANCHANABURI, TH",99.445297,14.064004999999998,3.5345043887147236,3.6878305258033013,2.3819376137744848,2.16409135910146
TH000048430,"PRACHIN BURI, TH",101.255516,14.064004999999998,2.6942948826290958,3.393747951219495,1.8057680682801605,1.9404427933865716
TH000048430,"PRACHIN BURI, TH",101.481789,14.064004999999998,2.8631622347417713,3.5683191707316912,1.825506250327701,1.9421026255018898
TH000048425,"SUPHAN BURI, TH",100.12413000000001,14.502567,2.6344373888363224,2.9433038480272673,1.9069462232316357,1.844749075408372
TH000048426,"LOP BURI, TH",100.576683,14.721525,2.900329034385294,2.9862170025839685,1.8916324107464342,1.5711255536433033
TH000048431,"NAKHON RATCHASIMA, TH",102.160622,14.940264,3.4991698855707374,3.6584829453681578,2.377158772210019,2.2140680575871716
THW00041019,"NAKHON RATCHASIMA, TH",102.160622,14.940264,,,,
TH000048432,"SURIN, TH",103.51828,14.940264,3.320087748251735,3.3414345419847202,2.1028125028757847,2.0019408659366404
THW00041012,"TA KHLI, TH",100.350403,15.158779999999998,,,,
TH000048407,"UBON RATCHATHANI, TH",104.87593799999999,15.158779999999998,3.198947087732058,3.5753686084142235,2.1617777648022565,2.1184513499351785
THW00041017,"UBON RATCHATHANI, TH",104.87593799999999,15.158779999999998,,,,
THW00041012,"TA KHLI, TH",100.350403,15.377070000000002,,,,
TH000048400,"NAKHON SAWAN, TH",100.12413000000001,15.812963,3.0501557725654727,3.3051803759743126,2.1102191512716986,1.9423802653967897
TH000048405,"ROI ET, TH",103.74455999999999,16.030558,3.0401267778506407,3.396644081831454,2.2297163725847,2.2064935931961474
TH000048379,"PHETCHABUN, TH",101.029236,16.465035999999998,4.316174001883222,4.562609995307349,2.210303007283673,2.0809454527893925
TH000048379,"PHETCHABUN, TH",101.255516,16.465035999999998,4.640159039548005,4.954140872829639,2.2020072582283996,2.0759903693307353
TH000048381,"KHON KAEN, TH",102.83944699999999,16.465035999999998,3.4919501253831036,3.6943362010633036,2.2973010445605464,2.165448897823487
TH000048383,"MUKDAHAN, TH",104.649666,16.465035999999998,3.401993114567515,4.170547559207331,2.4836840632405144,2.58602476416915
TH000048375,"MAE SOT, TH",98.540192,16.681911,4.374614101966617,5.064468136080478,2.149782102705015,2.1415348292590277
THW00041082,"NAM PHONG, TH",103.065727,16.681911,3.800125999999986,,2.268105894739112,
TH000048376,"TAK, TH",99.21901700000001,16.898542000000003,3.9814109473882957,4.328060473933638,2.603187868109947,2.558662450047392
TH000048378,"PHITSANULOK SARIT, TH",100.350403,16.898542000000003,2.6979450489967247,2.6685972021225193,1.9679707410601959,1.7754393891177027
TH000048356,"SAKON NAKHON, TH",104.197113,17.114923,3.1685755193292877,3.361479790276443,2.350544220713815,2.222855657013343
TH000048353,"LOEI, TH",101.708069,17.331055,4.052591758139522,4.494617479867349,2.3500407402930237,2.385535613559921
TH000048354,"UDORN AB USAF, TH",102.83944699999999,17.331055,3.0774266212765893,,2.2753159385346717,
THW00041018,"UDON THANI, TH",102.83944699999999,17.331055,3.2877141647420998,3.8176590494479004,2.2948583276241625,2.42704460429313
THW00041020,"NAKHON PHANOM, TH",104.649666,17.331055,,,,
TH000048357,"NAKHON PHANOM, TH",104.87593799999999,17.331055,3.2380681201732817,3.5336725567620806,2.3840421252820683,2.3386521666979263
TH000048351,"UTTARADIT, TH",100.12413000000001,17.54693,3.14764142440492,3.242275939849613,2.1739895820353183,1.9525131770212378
TH000048353,"LOEI, TH",101.708069,17.54693,3.642836093023246,4.0734856939838835,2.3629201167501956,2.390611666021455
TH000048325,"MAE SARIANG, TH",97.861359,18.193007,4.893883372563772,5.448116232464912,2.2755865763403835,2.2524482850821594
TH000048328,"LAMPANG, TH",99.445297,18.193007,3.4796609612791274,4.071690277777765,2.4102420001912166,2.3782129347411796
TH000048330,"PHRAE, TH",100.12413000000001,18.193007,4.107328611057953,4.216033475177289,2.212321353168347,2.1023387497916772
TH000048328,"LAMPANG, TH",99.445297,18.407839000000003,3.770760065497965,4.434867193486576,2.414382426455789,2.3830681944540233
TH000048327,"CHIANG MAI, TH",98.99274399999999,18.836699,3.3482812577704015,3.478189949385387,2.155007952505761,2.1437427595650047
TH000048331,"NAN, TH",100.80295600000001,18.836699,3.941175276689923,,2.2836621174822063,
TH000048300,"MAE HONG SON, TH",97.861359,19.264464999999998,4.709045079426561,4.73274679454819,2.3198754483252433,2.287734858903384
TH000048303,"CHIANG RAI, TH",99.89785,19.904020000000003,3.0283991445212926,3.2595928044280407,2.280771504532035,2.140482557861621
