station,station_name,grid_lon,grid_lat,train_mae,test_mae,bctrain_mae,bctest_mae
TH000048569,"HAT YAI, TH",100.350403,6.949439,2.9946669301712574,2.6954346568349195,1.30339534855016,1.1879932034125231
TH000048568,"SONGKHLA, TH",100.576683,7.173999,1.2799488486393025,1.2484693730729637,1.2765966212430133,1.2650823457198148
TH000048567,"TRANG, TH",99.671577,7.398449,2.6683583946078238,2.4115170786516633,1.2654275171460936,1.0279332869166395
TH000048567,"TRANG, TH",99.671577,7.622783999999999,2.7827896323529204,2.5321037640449218,1.2918847570504075,1.0958903642978484
TH000048564,"PHUKET, TH",98.313911,7.847002000000001,1.317096595570152,0.9085312382149605,1.0433648502223873,1.1805314938137248
TH000048565,"PHUKET AIRPORT, TH",98.313911,8.071099,1.8598829380580537,1.4026091243111,1.0958724553028323,1.015783613040658
TH000048552,"NAKHON SI THAMMARAT, TH",99.89785,8.518917,2.4921503085686973,2.356567668393765,1.4435408922944415,1.367721318000666
TH000048551,"SURAT THANI, TH",99.21901700000001,9.189653999999999,2.2751719868516993,2.1809848870874164,1.4206267698638568,1.3101690065923306
TH000048550,"KO SAMUI, TH",100.12413000000001,9.412956,1.3593236111111182,1.2744765191740515,1.2652060706061685,1.133230417225997
TH000048517,"CHUMPHON, TH",99.21901700000001,10.527236,2.9908675936654894,2.9452123820754514,1.744914432665516,1.6024931766289294
TH000048500,"PRACHUAP KHIRI KHAN, TH",99.89785,11.859039,1.6888446305060092,1.4790642105263145,1.6800614962964984,1.519420627408272
TH000048501,"KHLONG YAI, TH",102.83944699999999,11.859039,1.4765439967440008,1.3371701912260998,1.423776980796796,1.3270703918526765
TH000048475,"HUA HIN, TH",99.89785,12.522558,4.288888579666518,4.440969195664552,1.5540596339603445,1.3977647189047824
TH000048480,"CHANTHABURI, TH",102.160622,12.522558,3.5596906245941886,3.8433151807228705,1.8863990401175352,2.027022662777574
TH000048477,"SATTAHIP, TH",101.029236,12.743357000000001,4.113521733776608,3.9588222222222016,2.2461365223353766,2.334088059814172
THW00041028,"U TAPAO RTNAS, TH",101.029236,12.743357000000001,,,,
TH000048459,"CHON BURI, TH",101.029236,13.404588,4.254158693991833,4.989454243542413,2.1784563518247184,2.2633266233863707
TH000048455,"BANGKOK METROPOLIS, TH",100.576683,13.624599,223.14604159515395,233.14475940815186,16.10394092009092,17.061623577134817
THM00048453,"BANG NA AGROMET, TH",100.576683,13.624599,,,,
TH000048462,"ARANYAPRATHET, TH",102.613174,13.624599,212.01822023116122,218.09513451974647,18.01513008771922,17.635619806545005
TH000048455,"BANGKOK METROPOLIS, TH",100.576683,13.844404999999998,223.34990141342755,233.3178443886097,16.2482947660914,17.14094452987059
TH000048456,"DON MUANG, TH",100.576683,13.844404999999998,4.0992579793340775,4.87476651785712,1.9751096208369092,2.0314128792368766
THW00041001,"DON MUANG, TH",100.576683,13.844404999999998,,,,
TH000048450,"KANCHANABURI, TH",99.445297,14.064004999999998,4.280543445789318,4.5999349255582915,1.932852072159114,1.8175354572078708
TH000048430,"PRACHIN BURI, TH",101.255516,14.064004999999998,3.753291920058832,3.641990220820167,1.707606382179932,1.7323851603727327
TH000048430,"PRACHIN BURI, TH",101.481789,14.064004999999998,3.912961574301107,3.8164718191377274,1.6885789215915932,1.7386343967185836
TH000048425,"SUPHAN BURI, TH",100.12413000000001,14.502567,4.069203416605416,4.41043040659986,1.7832937804626792,1.7891653675153658
TH000048426,"LOP BURI, TH",100.576683,14.721525,3.9224527465425654,4.1746506533913905,1.9115943913857625,1.9077731741682666
TH000048431,"NAKHON RATCHASIMA, TH",102.160622,14.940264,3.9938028746177174,4.304962594093784,1.9479561519633979,1.93363774310487
THW00041019,"NAKHON RATCHASIMA, TH",102.160622,14.940264,,,,
TH000048432,"SURIN, TH",103.51828,14.940264,3.801621022155067,3.749014948764298,1.881931421846217,1.844716193872295
THW00041012,"TA KHLI, TH",100.350403,15.158779999999998,,,,
TH000048407,"UBON RATCHATHANI, TH",104.87593799999999,15.158779999999998,3.2508569348379877,3.2354145679012154,1.9830248527521142,1.9008402600570449
THW00041017,"UBON RATCHATHANI, TH",104.87593799999999,15.158779999999998,,,,
THW00041012,"TA KHLI, TH",100.350403,15.377070000000002,,,,
TH000048400,"NAKHON SAWAN, TH",100.12413000000001,15.812963,4.194901698630116,4.2346880648329845,2.155921536681606,2.118373516013283
TH000048405,"ROI ET, TH",103.74455999999999,16.030558,3.8049276067401308,3.7935336573511336,2.0390475036817186,2.0275444631906834
TH000048379,"PHETCHABUN, TH",101.029236,16.465035999999998,4.502755497992467,4.742617153511476,1.9815709765198728,1.931148565092423
TH000048379,"PHETCHABUN, TH",101.255516,16.465035999999998,4.759764084963067,5.026637041640749,1.9836596966017903,1.9353155621243443
TH000048381,"KHON KAEN, TH",102.83944699999999,16.465035999999998,4.032229360465097,4.031195226586083,2.1439217618630644,2.199628791207348
TH000048383,"MUKDAHAN, TH",104.649666,16.465035999999998,3.644238800682307,3.7775703534031204,2.097479745998414,2.11786338817064
TH000048375,"MAE SOT, TH",98.540192,16.681911,3.6894015164381724,3.601520860927132,1.9938493060247149,1.7892632346366275
THW00041082,"NAM PHONG, TH",103.065727,16.681911,5.105717999999975,,2.322088231458229,
TH000048376,"TAK, TH",99.21901700000001,16.898542000000003,4.415203628932356,4.593354193932162,2.2804862813377555,2.0420179151991698
TH000048378,"PHITSANULOK SARIT, TH",100.350403,16.898542000000003,3.9694686525892213,3.4176829396325266,2.053604821073553,2.073458031093542
TH000048356,"SAKON NAKHON, TH",104.197113,17.114923,4.0074543481138125,4.064585313751649,2.239058766170533,2.2266985884453234
TH000048353,"LOEI, TH",101.708069,17.331055,3.7570115655675633,3.9941662629757597,2.117411907787834,2.0827587086341324
TH000048354,"UDORN AB USAF, TH",102.83944699999999,17.331055,4.44636853544083,,2.233795364869792,
THW00041018,"UDON THANI, TH",102.83944699999999,17.331055,4.38169509491653,4.074542427680072,2.1709066207724805,2.2285619411307387
THW00041020,"NAKHON PHANOM, TH",104.649666,17.331055,,,,
TH000048357,"NAKHON PHANOM, TH",104.87593799999999,17.331055,3.4380378435239796,3.5457177181207866,2.1692116331929188,2.2345645407720633
TH000048351,"UTTARADIT, TH",100.12413000000001,17.54693,3.4075647775746303,3.9442417001722943,1.9572072489472354,1.9733304505938172
TH000048353,"LOEI, TH",101.708069,17.54693,3.7444069846463446,4.007529988465954,2.1450428789778813,2.100248347972197
TH000048325,"MAE SARIANG, TH",97.861359,18.193007,3.9114806904259103,3.439383127317659,2.030731590478911,1.8829228909307363
TH000048328,"LAMPANG, TH",99.445297,18.193007,3.82965839108909,3.9531829050279135,2.050484056691372,1.8751738533963382
TH000048330,"PHRAE, TH",100.12413000000001,18.193007,4.289836094598067,4.6141868541530195,2.086495650341397,1.949769318704419
TH000048328,"LAMPANG, TH",99.445297,18.407839000000003,4.129141608910872,4.273520167597746,2.054070804174277,1.8657249950914627
