station,station_name,grid_lon,grid_lat,train_mae,test_mae,bctrain_mae,bctest_mae
TH000048569,"HAT YAI, TH",100.350403,6.949439,6.318154988990395,6.29508151048951,7.3697883549501695,7.138493844107326
TH000048568,"SONGKHLA, TH",100.576683,7.173999,7.524671845166386,6.844255349215573,8.294624193267513,7.480572457374838
TH000048567,"TRANG, TH",99.671577,7.398449,6.689981050635311,6.485610815072464,8.050122917958868,7.611123769387281
TH000048567,"TRANG, TH",99.671577,7.622783999999999,6.653518865162147,6.229118831304349,8.086335042661863,7.41426053201626
TH000048564,"PHUKET, TH",98.313911,7.847002000000001,6.913378180096737,6.6308436930342385,8.558371436706949,7.845931965430662
TH000048565,"PHUKET AIRPORT, TH",98.313911,8.071099,7.404344655143101,7.343467772575251,9.241936630711619,8.737656695194744
TH000048552,"NAKHON SI THAMMARAT, TH",99.89785,8.518917,7.870379309847118,8.599919850093691,9.228480251156029,9.614687000715712
TH000048551,"SURAT THANI, TH",99.21901700000001,9.189653999999999,5.744867600490427,5.723584622871046,6.779326830597797,6.57412075941414
TH000048550,"KO SAMUI, TH",100.12413000000001,9.412956,6.265848552635055,6.133903560707748,7.5955862315886336,7.0116254435990895
TH000048517,"CHUMPHON, TH",99.21901700000001,10.527236,6.062921663636364,6.669995735207967,7.246166802799586,7.471246009676732
TH000048500,"PRACHUAP KHIRI KHAN, TH",99.89785,11.859039,5.520843303347479,5.679184237918215,5.714015331063688,5.7910299437040464
TH000048501,"KHLONG YAI, TH",102.83944699999999,11.859039,14.79981484725227,16.401454899944103,17.0007485992337,18.42019593943177
TH000048475,"HUA HIN, TH",99.89785,12.522558,4.205000378931413,4.992193492772667,4.326969216473508,5.0884097968857915
TH000048480,"CHANTHABURI, TH",102.160622,12.522558,8.81019146162571,9.124240959451742,10.463157631872384,10.759795746344244
TH000048477,"SATTAHIP, TH",101.029236,12.743357000000001,5.005017626719803,5.236545775561097,5.626418860550478,5.723058261250754
THW00041028,"U TAPAO RTNAS, TH",101.029236,12.743357000000001,,,,
TH000048459,"CHON BURI, TH",101.029236,13.404588,4.576514016728263,5.004466069142126,5.40458767433058,5.688569567667824
TH000048455,"BANGKOK METROPOLIS, TH",100.576683,13.624599,43.53898750704625,51.24554936352201,65.83387715157879,67.15996000841635
THM00048453,"BANG NA AGROMET, TH",100.576683,13.624599,,,,
TH000048462,"ARANYAPRATHET, TH",102.613174,13.624599,37.51766637823491,40.43476887804878,55.11195380995435,54.118133184245416
TH000048455,"BANGKOK METROPOLIS, TH",100.576683,13.844404999999998,43.565507946656574,51.2257832855346,65.80389917398264,67.21619522256418
TH000048456,"DON MUANG, TH",100.576683,13.844404999999998,4.309817893106705,5.347523188264058,5.173108160022542,5.97906821938305
THW00041001,"DON MUANG, TH",100.576683,13.844404999999998,,,,
TH000048450,"KANCHANABURI, TH",99.445297,14.064004999999998,3.858816923225869,4.418412462515883,4.504419434437053,4.971261228946565
TH000048430,"PRACHIN BURI, TH",101.255516,14.064004999999998,5.915148483162238,6.315706149253732,7.40101804038661,7.682977632455587
TH000048430,"PRACHIN BURI, TH",101.481789,14.064004999999998,6.235953407656145,6.703031502487562,7.375808192632237,7.7913694976962065
TH000048425,"SUPHAN BURI, TH",100.12413000000001,14.502567,3.7079079892633455,4.202274789850358,4.644959899667733,4.997309328086994
TH000048426,"LOP BURI, TH",100.576683,14.721525,3.9958277171403624,4.699646712401055,4.845340867677128,5.441377879844213
TH000048431,"NAKHON RATCHASIMA, TH",102.160622,14.940264,4.033259750213209,4.424027155778894,4.65935924560803,4.957583973549164
THW00041019,"NAKHON RATCHASIMA, TH",102.160622,14.940264,,,,
TH000048432,"SURIN, TH",103.51828,14.940264,4.558809645259939,5.695711315723272,5.503697121417015,6.419361505987344
THW00041012,"TA KHLI, TH",100.350403,15.158779999999998,,,,
TH000048407,"UBON RATCHATHANI, TH",104.87593799999999,15.158779999999998,5.203371122670954,5.3327430905587665,6.505299802474801,6.510743258872028
THW00041017,"UBON RATCHATHANI, TH",104.87593799999999,15.158779999999998,,,,
THW00041012,"TA KHLI, TH",100.350403,15.377070000000002,,,,
TH000048400,"NAKHON SAWAN, TH",100.12413000000001,15.812963,3.779291340891912,4.345224292495189,4.667911973072491,5.080286075326888
TH000048405,"ROI ET, TH",103.74455999999999,16.030558,4.48989001195757,5.856698585911783,5.485501540017612,6.616979116103766
TH000048379,"PHETCHABUN, TH",101.029236,16.465035999999998,4.285172117913832,5.401275011942175,4.393768619263007,5.4853693796197724
TH000048379,"PHETCHABUN, TH",101.255516,16.465035999999998,4.1875386515495086,5.261956103079824,4.3303835708635345,5.371260914748635
TH000048381,"KHON KAEN, TH",102.83944699999999,16.465035999999998,4.216516972461437,5.325493609850939,5.1661101967822045,6.044262346868033
TH000048383,"MUKDAHAN, TH",104.649666,16.465035999999998,4.927984433670548,5.543788163265306,6.113601091320871,6.505795365473236
TH000048375,"MAE SOT, TH",98.540192,16.681911,4.427319242716592,5.360965041931384,5.353182337634737,6.123108298549491
THW00041082,"NAM PHONG, TH",103.065727,16.681911,3.8957199641255604,,4.488896268334373,
TH000048376,"TAK, TH",99.21901700000001,16.898542000000003,3.7469127215472833,4.18931522724296,4.541009830118308,4.851233075078242
TH000048378,"PHITSANULOK SARIT, TH",100.350403,16.898542000000003,4.437420089628439,4.768754417554859,5.813599737396059,5.972947482803019
TH000048356,"SAKON NAKHON, TH",104.197113,17.114923,5.162540388070971,5.494603966984127,6.351580485231077,6.473051909908859
TH000048353,"LOEI, TH",101.708069,17.331055,4.456243819648789,5.2792395956493925,5.05013036724945,5.763208649269216
TH000048354,"UDORN AB USAF, TH",102.83944699999999,17.331055,4.34860024919149,,5.540399917965501,
THW00041018,"UDON THANI, TH",102.83944699999999,17.331055,4.402367100189036,5.5303625762711865,5.532351884652356,6.406641721752896
THW00041020,"NAKHON PHANOM, TH",104.649666,17.331055,,,,
TH000048357,"NAKHON PHANOM, TH",104.87593799999999,17.331055,6.8805095122699385,8.104267453874538,8.468658877687577,9.429206048110082
TH000048351,"UTTARADIT, TH",100.12413000000001,17.54693,4.557075668411535,5.2633854343434345,5.892159149239868,6.3519230024293565
TH000048353,"LOEI, TH",101.708069,17.54693,4.280810625154248,5.157211639155471,5.104490054699022,5.802273115613464
TH000048325,"MAE SARIANG, TH",97.861359,18.193007,3.7032883969971726,4.3641609867841415,4.267121002784165,4.83420519102465
TH000048328,"LAMPANG, TH",99.445297,18.193007,3.799652847566749,4.443296626223091,4.484165741682812,5.0047614985331235
TH000048330,"PHRAE, TH",100.12413000000001,18.193007,3.7753874629365303,4.37776524556962,4.613895708614961,5.03179999934089
TH000048328,"LAMPANG, TH",99.445297,18.407839000000003,3.872188839992426,4.592672417482062,4.502168905057452,5.099683988125656
TH000048327,"CHIANG MAI, TH",98.99274399999999,18.836699,4.001089607540057,5.030653061431286,4.888283835908614,5.726410756299903
TH000048331,"NAN, TH",100.80295600000001,18.836699,4.477018618553192,,5.250673817873499,
TH000048300,"MAE HONG SON, TH",97.861359,19.264464999999998,4.095027315669947,4.546631332921557,5.263978126408492,5.4516657053414255
TH000048303,"CHIANG RAI, TH",99.89785,19.904020000000003,5.448355735420444,5.803843423623996,6.822951757030879,6.828057826928957
