station,station_name,grid_lon,grid_lat,train_mae,test_mae,bctrain_mae,bctest_mae
TH000048569,"HAT YAI, TH",100.350403,6.949439,2.587695277834295,2.595336815693409,1.080372064100573,0.9290700065166727
TH000048568,"SONGKHLA, TH",100.576683,7.173999,2.5287027167568517,2.283822857142837,1.2851395387261069,1.0878918769486523
TH000048567,"TRANG, TH",99.671577,7.398449,3.6459436704348493,3.6128030635573625,1.2010865243554225,1.0991748210790895
TH000048567,"TRANG, TH",99.671577,7.622783999999999,3.749390640594743,3.68526547782348,1.2654425604199844,1.1651319702947076
TH000048564,"PHUKET, TH",98.313911,7.847002000000001,2.3231606177605983,2.445790538641666,1.106066261011502,0.9804910827113928
TH000048565,"PHUKET AIRPORT, TH",98.313911,8.071099,1.987441770599042,2.8756131386861106,1.1880645575237179,1.5218482800973292
TH000048552,"NAKHON SI THAMMARAT, TH",99.89785,8.518917,3.4443985612277306,3.0888772620721756,1.1665352296073015,1.080832812446366
TH000048551,"SURAT THANI, TH",99.21901700000001,9.189653999999999,2.3294146715402384,2.3435806244260604,1.2100226129119718,1.2085590955102499
TH000048550,"KO SAMUI, TH",100.12413000000001,9.412956,2.178708260105429,1.945275093808612,1.147713865677537,0.9814561590971291
TH000048517,"CHUMPHON, TH",99.21901700000001,10.527236,2.750951700610978,2.621155433789933,1.2637881056553601,1.2100272992681043
TH000048500,"PRACHUAP KHIRI KHAN, TH",99.89785,11.859039,2.5145182485472333,2.606268781378347,1.3328356830156782,1.322400898689389
TH000048501,"KHLONG YAI, TH",102.83944699999999,11.859039,2.9295483714892407,2.712452249297075,1.3466299201812333,1.2314720489754336
TH000048475,"HUA HIN, TH",99.89785,12.522558,3.537232264304601,3.4665086657496347,1.321356659827769,1.266345198074557
TH000048480,"CHANTHABURI, TH",102.160622,12.522558,3.7437115881147323,3.8418706258565325,1.3701469542776639,1.3734306842380677
TH000048477,"SATTAHIP, TH",101.029236,12.743357000000001,3.742448103393905,4.188154254345815,1.4909526539949334,1.5307931930543446
THW00041028,"U TAPAO RTNAS, TH",101.029236,12.743357000000001,,,,
TH000048459,"CHON BURI, TH",101.029236,13.404588,4.244006433669163,4.232635443037952,1.6091944597491084,1.6239548507510417
TH000048455,"BANGKOK METROPOLIS, TH",100.576683,13.624599,258.2008750943011,266.6893218721461,13.59221191224403,14.546028926873225
THM00048453,"BANG NA AGROMET, TH",100.576683,13.624599,,,,
TH000048462,"ARANYAPRATHET, TH",102.613174,13.624599,254.5801128097909,257.54714095063986,15.689159701327341,14.667141852653272
TH000048455,"BANGKOK METROPOLIS, TH",100.576683,13.844404999999998,257.7546006830462,266.2333707762557,13.651048521641536,14.582569353501254
TH000048456,"DON MUANG, TH",100.576683,13.844404999999998,3.5084806205205377,4.049669571167862,1.7542928524334989,1.7707235482857402
THW00041001,"DON MUANG, TH",100.576683,13.844404999999998,,,,
TH000048450,"KANCHANABURI, TH",99.445297,14.064004999999998,4.120035331296723,3.8975833411543674,1.9863659925970276,1.9753338026344873
TH000048430,"PRACHIN BURI, TH",101.255516,14.064004999999998,4.071734974444539,4.029485513361441,1.5532108236779618,1.5688811972729728
TH000048430,"PRACHIN BURI, TH",101.481789,14.064004999999998,4.282199614060686,4.245260337552721,1.5392531015513575,1.5520119459216517
TH000048425,"SUPHAN BURI, TH",100.12413000000001,14.502567,3.7140364149305345,3.4833442415730125,1.7481931004465365,1.78019405650164
TH000048426,"LOP BURI, TH",100.576683,14.721525,3.9819365146995946,3.6512953838907003,1.8207564045080882,1.8797568774320457
TH000048431,"NAKHON RATCHASIMA, TH",102.160622,14.940264,4.1124504909225434,4.222945321770859,1.9339968772466047,1.9362726074019676
THW00041019,"NAKHON RATCHASIMA, TH",102.160622,14.940264,,,,
TH000048432,"SURIN, TH",103.51828,14.940264,3.99602678680511,3.659139533820821,1.8816036453556673,1.91611660082373
THW00041012,"TA KHLI, TH",100.350403,15.158779999999998,,,,
TH000048407,"UBON RATCHATHANI, TH",104.87593799999999,15.158779999999998,3.751107805707786,3.6752910502282914,1.8843449042409166,1.8273073633265429
THW00041017,"UBON RATCHATHANI, TH",104.87593799999999,15.158779999999998,,,,
THW00041012,"TA KHLI, TH",100.350403,15.377070000000002,,,,
TH000048400,"NAKHON SAWAN, TH",100.12413000000001,15.812963,3.784926432926809,3.516112648401807,1.9902180766140416,2.0180227557170576
TH000048405,"ROI ET, TH",103.74455999999999,16.030558,4.009191065149929,3.811662335834877,1.982237994963044,2.0249349215577386
TH000048379,"PHETCHABUN, TH",101.029236,16.465035999999998,4.897782740340482,4.875166499315359,1.858323654171053,1.844149997722355
