station,station_name,grid_lon,grid_lat,train_mae,test_mae,bctrain_mae,bctest_mae
TH000048569,"HAT YAI, TH",100.350403,6.949439,2.9946669301712574,2.6954346568349195,1.2958246552134138,1.1798832040098173
TH000048568,"SONGKHLA, TH",100.576683,7.173999,1.2799488486393025,1.2484693730729637,1.276710401575147,1.265175300474222
TH000048567,"TRANG, TH",99.671577,7.398449,2.6683583946078238,2.4115170786516633,1.2614528869935822,1.0228229125771122
TH000048567,"TRANG, TH",99.671577,7.622783999999999,2.7827896323529204,2.5321037640449218,1.2869905474817347,1.0893647397829989
TH000048564,"PHUKET, TH",98.313911,7.847002000000001,1.317096595570152,0.9085312382149605,1.0438605310375642,1.180565509307155
TH000048565,"PHUKET AIRPORT, TH",98.313911,8.071099,1.8598829380580537,1.4026091243111,1.0963055817195335,1.0160011696794384
TH000048552,"NAKHON SI THAMMARAT, TH",99.89785,8.518917,2.4921503085686973,2.356567668393765,1.4366940667524577,1.3612250862553479
TH000048551,"SURAT THANI, TH",99.21901700000001,9.189653999999999,2.2751719868516993,2.1809848870874164,1.4160632384037406,1.3042653016817476
TH000048550,"KO SAMUI, TH",100.12413000000001,9.412956,1.3593236111111182,1.2744765191740515,1.2656277407371754,1.1335385494064663
TH000048517,"CHUMPHON, TH",99.21901700000001,10.527236,2.9908675936654894,2.9452123820754514,1.7354453596242254,1.5929653934097079
TH000048500,"PRACHUAP KHIRI KHAN, TH",99.89785,11.859039,1.6888446305060092,1.4790642105263145,1.6804867424853356,1.5197746435528339
TH000048501,"KHLONG YAI, TH",102.83944699999999,11.859039,1.4765439967440008,1.3371701912260998,1.4246547426204184,1.3280927564609957
TH000048475,"HUA HIN, TH",99.89785,12.522558,4.288888579666518,4.440969195664552,1.5450147388767195,1.3885379502006736
TH000048480,"CHANTHABURI, TH",102.160622,12.522558,3.5596906245941886,3.8433151807228705,1.867325549876978,2.005489355427164
TH000048477,"SATTAHIP, TH",101.029236,12.743357000000001,4.113521733776608,3.9588222222222016,2.217847155675109,2.2996768298132233
